source,engine,relative_path,filename,file_size_bytes_json,object_count,top_dir,map_type_code,map_region,map_number,map_variant,map_suffix,canonical_name
CotC,UE4.26,Level/Area/Gacha/BP/GachaPerformanceControllerBP,GachaPerformanceControllerBP,178432,11,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Back/FxPS_Gh_OrstAnim_05_renewal_1,FxPS_Gh_OrstAnim_05_renewal_1,22203,12,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Back/FxPS_Gh_OrstAnim_05_renewal_1_LV4,FxPS_Gh_OrstAnim_05_renewal_1_LV4,45121,16,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Back/FxPS_Gh_OrstAnim_05_renewal_1_Lv3,FxPS_Gh_OrstAnim_05_renewal_1_Lv3,52252,16,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Back/FxPS_Gh_OrstAnim_05_renewal_2,FxPS_Gh_OrstAnim_05_renewal_2,23369,13,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Back/FxPS_Gh_OrstAnim_05_renewal_2_LV4,FxPS_Gh_OrstAnim_05_renewal_2_LV4,35169,16,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Back/FxPS_Gh_OrstAnim_05_renewal_3,FxPS_Gh_OrstAnim_05_renewal_3,17635,14,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Effects/Eff_Event_PowerCrystal_Cloud,Eff_Event_PowerCrystal_Cloud,37993,30,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Effects/Eff_Event_PowerCrystal_Start_A,Eff_Event_PowerCrystal_Start_A,21781,16,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Effects/FxPS_Env_dust_Gacha,FxPS_Env_dust_Gacha,41564,17,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Effects/FxPS_GachaBurn_03_cbt,FxPS_GachaBurn_03_cbt,18932,14,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Effects/FxPS_GachaBurn_04_cbt,FxPS_GachaBurn_04_cbt,37482,28,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Effects/FxPS_GachaBurn_05_cbt,FxPS_GachaBurn_05_cbt,30106,24,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Effects/FxPS_Gacha_OrsterCover_04,FxPS_Gacha_OrsterCover_04,38246,34,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Effects/FxPS_Gacha_OrsterCover_05,FxPS_Gacha_OrsterCover_05,36101,33,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Effects/FxPS_GhRadi_04,FxPS_GhRadi_04,13724,13,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Effects/FxPS_GhRadi_05,FxPS_GhRadi_05,13724,13,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Effects/FxPS_GhRadi_06,FxPS_GhRadi_06,13788,13,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Effects/FxPS_Gh_AreaEffect_Map,FxPS_Gh_AreaEffect_Map,79745,59,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Effects/FxPS_Gh_OrstAnim_05_renewal_particleboom,FxPS_Gh_OrstAnim_05_renewal_particleboom,56300,20,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Effects/FxPS_Gh_OrstAnim_05_renewal_particleboom2,FxPS_Gh_OrstAnim_05_renewal_particleboom2,57860,21,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Effects/FxPS_Gh_OrstAnim_05_renewal_particleboom2_2,FxPS_Gh_OrstAnim_05_renewal_particleboom2_2,52535,17,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Effects/FxPS_Gh_OrstAnim_05_renewal_particleboom3,FxPS_Gh_OrstAnim_05_renewal_particleboom3,52330,17,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Effects/FxPS_Gh_OrstAnim_05_renewal_particleboom4,FxPS_Gh_OrstAnim_05_renewal_particleboom4,50905,16,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Effects/FxPS_Gh_OrstAnim_05_renewal_sparklingonly,FxPS_Gh_OrstAnim_05_renewal_sparklingonly,158893,78,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Effects/FxPS_Gh_OrstAnim_05_renewal_sparklingonlyblue,FxPS_Gh_OrstAnim_05_renewal_sparklingonlyblue,162719,80,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Effects/FxPS_Gh_WOGray_01,FxPS_Gh_WOGray_01,58363,31,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Effects/FxPS_Gh_WO_01,FxPS_Gh_WO_01,24842,11,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Effects/FxPS_Gh_WO_02,FxPS_Gh_WO_02,14328,11,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Effects/P_Blizzard,P_Blizzard,17109,17,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Effects/P_BlueSparkBurst_GoldShort_Final,P_BlueSparkBurst_GoldShort_Final,49331,38,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Effects/P_BlueSparkBurst_GoldShort_FinalGold,P_BlueSparkBurst_GoldShort_FinalGold,64111,50,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Effects/P_BlueSparkBurst_GoldShort_FinalGoldtest02,P_BlueSparkBurst_GoldShort_FinalGoldtest02,65365,50,Area,,,,,,
CotC,UE4.26,Level/Area/Gacha/Effects/P_Lv4_Aura,P_Lv4_Aura,31809,27,Area,,,,,,
