class,count
"UScriptClass'StaticMeshComponent'",148775
"UScriptClass'SceneComponent'",127677
"UScriptClass'StaticMeshActor'",94885
"Unknown",85698
"UScriptClass'HierarchicalInstancedStaticMeshComponent'",52735
"UScriptClass'MapObjectConvertedParts'",50987
"UScriptClass'MovieSceneBuiltInEasingFunction'",40206
"UScriptClass'DistributionFloatConstant'",34787
"UScriptClass'ParticleLODLevel'",32031
"UScriptClass'ParticleSpriteEmitter'",30901
"UScriptClass'ParticleModuleRequired'",30519
"UScriptClass'ParticleModuleSpawn'",29843
"UScriptClass'BodySetup'",28572
"UScriptClass'ParticleModuleLifetime'",27464
"UScriptClass'ParticleModuleSize'",27250
"UScriptClass'ParticleModuleSizeMultiplyLife'",22631
"UScriptClass'ParticleModuleColorOverLife'",22475
"UScriptClass'Texture2D'",20183
"UScriptClass'ParticleModuleParameterDynamic'",19892
"UScriptClass'GridSlot'",18238
"UScriptClass'ParticleModuleLocation'",17364
"UScriptClass'StaticMesh'",13946
"UScriptClass'NavCollision'",13937
"UScriptClass'TimelineComponent'",13169
"UScriptClass'PaperSprite'",12554
"UScriptClass'ParticleSystemComponent'",11123
"UScriptClass'SCS_Node'",10741
"UScriptClass'ParticleModuleRotation'",10549
"UScriptClass'ParticleModuleVelocity'",9437
"UScriptClass'ParticleModuleTypeDataMesh'",9008
"UScriptClass'Image'",8564
"UScriptClass'ChildActorComponent'",8538
"UScriptClass'BinaryAsset'",8324
"UScriptClass'ParticleModuleColorScaleOverLife'",7928
"UScriptClass'ParticleModuleCameraOffset'",7762
"UScriptClass'MaterialInstanceDynamic'",7087
"UScriptClass'BillboardComponent'",6820
"UScriptClass'Emitter'",6639
"UScriptClass'MaterialInstanceConstant'",6622
"UScriptClass'ParticleModuleColor'",6491
"UScriptClass'GridPanel'",6400
"UScriptClass'ParticleModuleMeshRotation'",6183
"UScriptClass'HorizontalBoxSlot'",6054
"UScriptClass'MovieSceneColorTrack'",5972
"UScriptClass'MovieSceneColorSection'",5956
"UScriptClass'MapObjectFarClipComponent'",5437
"UScriptClass'ParticleModuleRotationRate'",5330
"UScriptClass'Function'",5263
"UScriptClass'ParticleModuleAccelerationDrag'",5099
"UScriptClass'ParticleModuleLocationPrimitiveSphere'",5037
"UScriptClass'AtomComponent'",4911
"UScriptClass'LandscapeMaterialInstanceConstant'",4833
"UScriptClass'LandscapeComponent'",4521
"UScriptClass'LandscapeLODStreamingProxy'",4521
"UScriptClass'LandscapeHeightfieldCollisionComponent'",4518
"UScriptClass'TextBlock'",4269
"UScriptClass'ParticleModuleLocationPrimitiveCylinder'",4181
"UScriptClass'ParticleModuleTypeDataGpu'",4154
"UScriptClass'MovieScene2DTransformTrack'",4096
