file_path,particle_modules,emitters,total_objects
Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/ID301_01/Eff_Btl_ID301_Skill04_A.json,1123,82,1270
Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/Magician/FxPS_Btl_Exice_A.json,1091,76,1241
Game/Effect/Resource/V1_0_0/Particles/Btl/Parallel/Hagupit/ID214_01/Eff_Hagupit_Btl_ID214_Skill05_A6.json,989,84,1097
Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/Magician/FxPS_Btl_Exthunder_A.json,876,100,978
Game/Effect/Resource/V1_0_0/Particles/Btl/Special/ID9026_01/Eff_Btl_ID9026_SP_C.json,865,68,980
Game/Effect/Resource/V1_0_0/Particles/Event/V3_0_0/FxPS_Eve_FieldThunder_B.json,857,59,926
Game/Effect/Resource/V1_0_0/Particles/Btl/Special/ID73/Eff_Btl_PC_EndlessMagic_A.json,852,74,939
Game/Effect/Resource/V1_0_0/Particles/Event/FxPS_Eve_PhotoSphere_D.json,800,63,887
Game/Effect/Resource/V1_0_0/Particles/Btl/Special/ID227_01/Eff_Krosa_Btl_ID227_SP_A.json,793,81,881
Game/Effect/Resource/V1_0_0/Particles/Btl/Parallel/Krosa/Enemy/Eff_Krosa_Btl_Enemy06_Skill01_A.json,784,76,837
Game/Effect/Resource/V1_0_0/Particles/Btl/Special/ID87/Eff_Btl_PC_Titi_ThunderSP_A.json,753,69,835
Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/Magician/FxPS_Btl_Exlight_A.json,748,76,866
Game/Effect/Resource/V1_0_0/Particles/Btl/Special/ID9027_01/Eff_Btl_ID9027_SP_A.json,711,64,782
Game/Effect/Resource/V1_0_0/Particles/Btl/Special/ID911_01/Eff_Btl_ID911_SP_A.json,700,60,800
Game/Effect/Resource/V1_0_0/Particles/Btl/Special/ID304_01/Eff_Btl_ID304_SP01_A.json,698,53,788
Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/ID904_01/Eff_Btl_ID904_Skill04_A.json,694,52,777
Game/Effect/Resource/V1_0_0/Particles/Event/V3_0_0/FxPs_Eve_ScriptDark_E.json,674,77,750
Game/Effect/Resource/V1_0_0/Particles/Btl/Special/ID606/Eff_Btl_PC_Kigan_A.json,671,57,726
Game/Effect/Resource/V1_0_0/Particles/Btl/Parallel/Hagupit/ID214_01/Eff_Hagupit_Btl_ID214_Skill05_A4.json,658,56,730
