type,count
"StaticMeshComponent",148775
"SceneComponent",127677
"StaticMeshActor",94885
"HierarchicalInstancedStaticMeshComponent",52735
"MapObjectConvertedParts",50987
"MovieSceneBuiltInEasingFunction",40206
"PathActorBP_C",36665
"DistributionFloatConstant",34787
"ParticleLODLevel",32031
"ParticleSpriteEmitter",30901
"ParticleModuleRequired",30519
"ParticleModuleSpawn",29843
"BodySetup",28572
"ParticleModuleLifetime",27464
"ParticleModuleSize",27250
"ParticleModuleSizeMultiplyLife",22631
"ParticleModuleColorOverLife",22475
"Texture2D",20183
"ParticleModuleParameterDynamic",19892
"GridSlot",18238
"ParticleModuleLocation",17364
"StaticMesh",13946
"NavCollision",13937
"TimelineComponent",13169
"PaperSprite",12554
"ParticleSystemComponent",11123
"NpcAppear_C",11045
"SCS_Node",10741
"ParticleModuleRotation",10549
"ParticleModuleVelocity",9437
"ParticleModuleTypeDataMesh",9008
"Image",8564
"ChildActorComponent",8538
"BokehBoll_C",8346
"BinaryAsset",8324
"ParticleModuleColorScaleOverLife",7928
"ParticleModuleCameraOffset",7762
"MaterialInstanceDynamic",7087
"BillboardComponent",6820
"Emitter",6639
"MaterialInstanceConstant",6622
"ParticleModuleColor",6491
"GridPanel",6400
"ParticleModuleMeshRotation",6183
"HorizontalBoxSlot",6054
"MovieSceneColorTrack",5972
"MovieSceneColorSection",5956
"MapObjectFarClipComponent",5437
"ParticleModuleRotationRate",5330
"Function",5263
"ParticleModuleAccelerationDrag",5099
"ParticleModuleLocationPrimitiveSphere",5037
"AtomComponent",4911
"LandscapeMaterialInstanceConstant",4833
"LandscapeComponent",4521
"LandscapeLODStreamingProxy",4521
"LandscapeHeightfieldCollisionComponent",4518
"LightAreatrigger2BP_C",4442
"TextBlock",4269
"ParticleModuleLocationPrimitiveCylinder",4181
"ParticleModuleTypeDataGpu",4154
"MovieScene2DTransformTrack",4096
"FoliageInstancedStaticMeshComponent",4092
"MovieScene2DTransformSection",4080
"DecalComponent",4034
"BP_FogSheet_C",3828
"MovieSceneFloatSection",3796
"MovieSceneFloatTrack",3796
"MovieScene",3595
"MovieSceneCompiledData",3595
"WidgetAnimation",3284
"ParticleSystem",3248
"AreaTriggerPrimitiveComponent",3153
"QPCameraLockTrigger_C",3145
"VerticalBoxSlot",3028
"ParticleModuleMeshRotationRate",3004
"Model",2869
"PaperFlipbookComponent",2828
"ParticleModuleAccelerationConstant",2804
"PaperFlipbookActor",2598
"ParticleModuleSizeScaleBySpeed",2590
"ParticleModuleOrientationAxisLock",2564
"DistributionVectorUniform",2486
"SizeBox",2463
"SizeBoxSlot",2351
"DistributionFloatParticleParameter",2160
"BrushComponent",2152
"HorizontalBox",2123
"BlueprintGeneratedClass",2022
"ParticleModuleLocationWorldOffset",1999
"ParticleModuleOrbit",1994
"MovieSceneParameterSection",1984
"ParticleModuleSubUV",1979
