object_type,cotc_count,ot0_count,difference,in_cotc_only,in_ot0_only,in_both
StaticMeshComponent,140512,146234,5722,False,False,True
SceneComponent,126512,80995,-45517,False,False,True
StaticMeshActor,94885,82858,-12027,False,False,True
HierarchicalInstancedStaticMeshComponent,52735,80229,27494,False,False,True
MapObjectConvertedParts,50987,32959,-18028,False,False,True
PathActorBP_C,36665,14845,-21820,False,False,True
TimelineComponent,13164,1911,-11253,False,False,True
NpcAppear_C,11044,0,-11044,True,False,False
ParticleSystemComponent,10880,148,-10732,False,False,True
ChildActorComponent,8162,615,-7547,False,False,True
BokehBoll_C,8137,7,-8130,False,False,True
MovieSceneBuiltInEasingFunction,7092,0,-7092,True,False,False
MaterialInstanceDynamic,7085,15477,8392,False,False,True
BillboardComponent,6802,13419,6617,False,False,True
Emitter,6639,144,-6495,False,False,True
MapObjectFarClipComponent,5270,3061,-2209,False,False,True
LandscapeMaterialInstanceConstant,4833,13981,9148,False,False,True
AtomComponent,4817,2511,-2306,False,False,True
Texture2D,4654,13625,8971,False,False,True
LandscapeComponent,4521,13345,8824,False,False,True
LandscapeLODStreamingProxy,4521,0,-4521,True,False,False
LandscapeHeightfieldCollisionComponent,4518,13298,8780,False,False,True
LightAreatrigger2BP_C,4436,339,-4097,False,False,True
FoliageInstancedStaticMeshComponent,4092,2987,-1105,False,False,True
DecalComponent,3981,1771,-2210,False,False,True
BP_FogSheet_C,3769,9742,5973,False,False,True
AreaTriggerPrimitiveComponent,3152,1011,-2141,False,False,True
QPCameraLockTrigger_C,3144,836,-2308,False,False,True
Model,2869,2888,19,False,False,True
PaperFlipbookComponent,2742,4625,1883,False,False,True
PaperFlipbookActor,2598,4507,1909,False,False,True
BrushComponent,2152,1747,-405,False,False,True
BodySetup,2082,2177,95,False,False,True
FootStepTriggerActor,1807,1148,-659,False,False,True
BP_LightBeam_C,1741,3300,1559,False,False,True
DecalActor,1457,568,-889,False,False,True
MinimapBoundsVolume,1253,808,-445,False,False,True
TreasureComponent,1201,0,-1201,True,False,False
EnvSound,1188,541,-647,False,False,True
TimeZoneEmitterComponent,948,0,-948,True,False,False
MapObjComponent,901,0,-901,True,False,False
DataTable,845,501,-344,False,False,True
WorldSettings,834,1142,308,False,False,True
Level,834,1142,308,False,False,True
World,834,1142,308,False,False,True
NavigationSystemModuleConfig,829,1142,313,False,False,True
DirectionalLightComponent,823,500,-323,False,False,True
ExponentialHeightFogComponent,799,452,-347,False,False,True
BPI_Obj_Torch_A_Decal_C,772,696,-76,False,False,True
SymbolEnemyComponent,721,0,-721,True,False,False
PostProcessVolume,717,529,-188,False,False,True
DirectionalLight,699,498,-201,False,False,True
BlueprintGeneratedClass,653,721,68,False,False,True
ExponentialHeightFog,637,452,-185,False,False,True
EventFlagObjectBP_C,630,605,-25,False,False,True
MovieSceneSubSection,624,0,-624,True,False,False
ConditionsComponent,620,598,-22,False,False,True
TimeZoneSoundComponent,612,0,-612,True,False,False
InstancedFoliageActor,576,296,-280,False,False,True
BP_MJFogSheet_C,548,0,-548,True,False,False
BP_LightBeamTimeZone_C,523,0,-523,True,False,False
MovieScene3DTransformSection,392,0,-392,True,False,False
MovieScene3DTransformTrack,392,0,-392,True,False,False
MovieSceneParameterSection,389,0,-389,True,False,False
MovieSceneColorSection,387,0,-387,True,False,False
MovieSceneColorTrack,387,0,-387,True,False,False
MovieSceneSpawnSection,378,0,-378,True,False,False
MovieSceneSpawnTrack,378,0,-378,True,False,False
MovieScene,339,0,-339,True,False,False
MovieSceneCompiledData,339,0,-339,True,False,False
LevelSequence,302,0,-302,True,False,False
BPI_Obj_Candle_A_on_C,297,61,-236,False,False,True
MovieSceneMaterialParameterCollectionTrack,297,0,-297,True,False,False
MovieSceneFloatTrack,289,0,-289,True,False,False
MovieSceneFloatSection,289,0,-289,True,False,False
BPI_Obj_Torch_A_C,288,0,-288,True,False,False
Function,288,24,-264,False,False,True
BP_WaterFall_A_C,280,159,-121,False,False,True
MovieSceneByteSection,276,0,-276,True,False,False
MovieSceneByteTrack,276,0,-276,True,False,False
